"Christie_murder_is_announced" "Christie_murder_of_rodger_ackroyd" "Christie_the_ABC_murders" "Francis_dead_cert" "Francis_odds_against" "M.Westmacott_giants_bread" "Stout_black_orchids" "Stout_right_to_die" "Stout_the_silent_speaker"
"there" 0.588131713329812 0.378772283749846 0.616903146206046 0.380775959658331 0.452477709710681 0.486917036467178 0.584572152162223 0.481711757127654 0.414075935970366
"what" 0.471914069378412 0.514636255094899 0.447254780999383 0.325889334842716 0.359070783041184 0.549775305144058 0.423251053791046 0.433167161448123 0.529170525201746
"is" 0.408522627223103 0.839886368314875 0.852097470697101 0.241272454918642 0.260811548492752 0.420306035331976 0.454474492185467 0.535857652308669 0.587379282973938
"no" 0.292304983271703 0.308781753056939 0.347008019740901 0.336180576995643 0.39667616910293 0.304909512238599 0.478759388714462 0.502249855299763 0.440534462230454
"if" 0.260609262194048 0.341718473383013 0.215916101172116 0.337324048345969 0.403954630921332 0.291774948634474 0.397231521795695 0.619877144830934 0.435242756978436
"all" 0.285261489698891 0.341718473383013 0.258328192473782 0.380775959658331 0.416085400618669 0.440007880738162 0.326111467675068 0.246457178065311 0.399523746527318
"up" 0.338087691494982 0.226439952241756 0.223627390499692 0.464249368232079 0.430642324255474 0.317105892728143 0.400700792728408 0.339812169756717 0.329408651938087
"they" 0.429653107941539 0.189386141874923 0.312307217766811 0.335037105645318 0.464608479408018 0.439069697623582 0.286214851948863 0.304337272913983 0.295012567799974
"one" 0.243000528262018 0.279962122771625 0.296884639111659 0.346471819148571 0.408806938800267 0.333993188790588 0.369477354333987 0.332343770421404 0.398200820214314
"would" 0.190174326465927 0.288196302853143 0.154225786551511 0.284724366231004 0.320252320009705 0.345251386165552 0.324376832208711 0.532123452641013 0.460378356925519
"about" 0.415566120795915 0.366421013627568 0.543645897594078 0.319028506740764 0.306908473342634 0.330240456332267 0.284480216482506 0.377154166433279 0.310887683556026
"out" 0.478957562951224 0.35818683354605 0.316162862430598 0.436806055824271 0.397889246072663 0.264567638311646 0.308765113011501 0.229653279560858 0.29104378886096
"so" 0.309913717203733 0.399357733953642 0.246761258482418 0.250420225721245 0.32510462788864 0.46252427548809 0.348661728737706 0.26699527623742 0.309564757243022
"were" 0.355696425427012 0.247025402445551 0.420265268352869 0.363623889403451 0.334809243646509 0.355571400425935 0.284480216482506 0.231520379394686 0.296335494112978
"we" 0.313435463990139 0.382889373790605 0.697871684145589 0.290441722982631 0.351792321222782 0.240174877332558 0.220298704227307 0.360350267928826 0.357190104511179
"from" 0.253565768621236 0.378772283749846 0.316162862430598 0.362480418053126 0.328743858797841 0.269258553884547 0.379885167132127 0.242722978397655 0.361158883450192
"know" 0.352174678640606 0.317015933138458 0.347008019740901 0.198964014956605 0.208649238794201 0.394036908123728 0.315703654876928 0.474243357792341 0.289720862547956
"do" 0.331044197922169 0.275845032730866 0.358574953732264 0.227550798714738 0.24382847091648 0.386531443207085 0.296622664747003 0.375287066599451 0.289720862547956
"been" 0.257087515407642 0.45699699452427 0.17350400987045 0.26871576732645 0.316613089100503 0.287084033061573 0.272337768218009 0.31740697175078 0.350575472946157
"when" 0.306391970417327 0.345835563423772 0.231338679827267 0.205824843058557 0.203796930915267 0.225163947499273 0.357334906069489 0.412629063276013 0.309564757243022
